threshold,macro_f1,person name,email address,phone number,street address,url,date
0.3,0.3686,0.2857,0.4211,0.5882,0.6087,0.0,0.3077
0.4,0.4023,0.303,0.5,0.6667,0.6364,0.0,0.3077
0.5,0.4225,0.3175,0.5333,0.7143,0.6364,0.0,0.3333
0.6,0.4473,0.3333,0.6667,0.7143,0.6364,0.0,0.3333
0.7,0.5022,0.3774,0.8,0.7692,0.6667,0.0,0.4
